,GROUP_VALUE,TEAM_ID
1,2024-25,1610612743
2,2023-24,1610612743
3,2022-23,1610612743
4,2021-22,1610612743
5,2020-21,1610612743
6,2019-20,1610612743
7,2018-19,1610612743
8,2017-18,1610612743
9,2016-17,1610612743
10,2015-16,1610612743
12,2024-25,1610612744
13,2023-24,1610612744
14,2022-23,1610612744
15,2021-22,1610612744
16,2020-21,1610612744
17,2019-20,1610612744
18,2018-19,1610612744
19,2017-18,1610612744
20,2016-17,1610612744
21,2015-16,1610612744
29,2024-25,1610612746
30,2023-24,1610612746
31,2022-23,1610612755
33,2021-22,1610612755
34,2021-22,1610612751
36,2020-21,1610612751
37,2020-21,1610612745
38,2019-20,1610612745
39,2018-19,1610612745
40,2017-18,1610612745
41,2016-17,1610612745
42,2015-16,1610612745
52,2022-23,1610612746
53,2020-21,1610612746
54,2019-20,1610612746
55,2018-19,1610612761
56,2017-18,1610612759
57,2016-17,1610612759
58,2015-16,1610612759
63,2024-25,1610612747
64,2023-24,1610612747
65,2022-23,1610612747
66,2021-22,1610612747
67,2020-21,1610612747
68,2019-20,1610612747
69,2018-19,1610612747
70,2017-18,1610612739
71,2016-17,1610612739
72,2015-16,1610612739
88,2024-25,1610612742
89,2023-24,1610612742
90,2022-23,1610612742
91,2021-22,1610612742
92,2020-21,1610612742
93,2019-20,1610612742
94,2018-19,1610612742
96,2024-25,1610612749
97,2023-24,1610612749
98,2022-23,1610612749
99,2021-22,1610612749
100,2020-21,1610612749
101,2019-20,1610612749
102,2018-19,1610612749
103,2017-18,1610612749
104,2016-17,1610612749
105,2015-16,1610612749
109,2024-25,1610612750
110,2023-24,1610612750
111,2022-23,1610612750
112,2021-22,1610612750
113,2020-21,1610612750
115,2024-25,1610612756
116,2023-24,1610612756
117,2022-23,1610612756
118,2021-22,1610612756
119,2020-21,1610612756
120,2019-20,1610612756
121,2018-19,1610612756
122,2017-18,1610612756
123,2016-17,1610612756
124,2015-16,1610612756
130,2022-23,1610612751
136,2015-16,1610612760
146,2024-25,1610612760
147,2023-24,1610612760
148,2022-23,1610612760
149,2021-22,1610612760
150,2020-21,1610612760
151,2019-20,1610612760
152,2018-19,1610612746
